City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,64.99,light rain,-33.65,115.33,Observatory Guest House
1,Wewak,PG,85.23,light rain,-3.55,143.63,In Wewak Boutique Hotel
2,Belmonte,BR,66.2,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
3,Mataura,NZ,55.99,scattered clouds,-46.19,168.86,Ellie's Villa
4,Tambopata,PE,69.67,scattered clouds,-12.73,-69.18,
5,Aksu,CN,51.85,clear sky,41.12,80.26,Pudong Holiday Hotel
6,Victoria,HK,84.99,overcast clouds,22.29,114.16,Mini Hotel Central
7,Vaini,TO,78.8,smoke,-21.2,-175.2,Keleti Beach Resort
8,Saquarema,BR,64.74,few clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
9,Kapaa,US,73.99,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,Atuona,PF,77.67,light rain,-9.8,-139.03,Villa Enata
11,Punta Arenas,CL,50.0,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
12,Bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
13,Sena Madureira,BR,72.0,clear sky,-9.07,-68.66,Hotel Suzani
14,Lavrentiya,RU,21.15,few clouds,65.58,-171.0,
15,Xingyi,CN,60.98,overcast clouds,24.19,102.82,
16,Saint George,US,62.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
17,Oeiras Do Para,BR,76.69,scattered clouds,-2.0,-49.85,Araticu Soft Hotel
18,Torbay,CA,41.0,broken clouds,47.67,-52.73,Gallows Cove
20,Kodiak,US,28.4,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
21,Airai,TL,78.93,overcast clouds,-8.93,125.41,Juvinal Martin
22,Nishihara,JP,82.4,scattered clouds,26.18,127.76,Minshuku Agaihama
23,Hobart,AU,81.0,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
24,Aukra,NO,48.2,light rain,62.79,6.92,Aukra Overnatting AS
25,Sisimiut,GL,26.67,light snow,66.94,-53.67,Hotel Sisimiut
26,Abomsa,ET,70.52,clear sky,9.98,39.98,
27,Hermanus,ZA,66.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
28,East London,ZA,64.4,few clouds,-33.02,27.91,Tu Casa
30,Hami,CN,55.36,few clouds,42.8,93.45,Laoyutang Resort
31,Tasiilaq,GL,24.8,clear sky,65.61,-37.64,The Red House
32,Rikitea,PF,73.92,broken clouds,-23.12,-134.97,Pension Maro'i
33,Newport,GB,61.0,broken clouds,51.59,-3.0,ibis budget Newport
34,Port Elizabeth,ZA,64.4,scattered clouds,-33.92,25.57,39 On Nile Guest House
35,Maceio,BR,75.2,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
36,Bengkulu,ID,85.15,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
37,Kudahuvadhoo,MV,83.05,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
38,Hilo,US,80.6,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
39,Saint Anthony,US,28.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
40,Krasnoselkup,RU,22.33,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
41,Butaritari,KI,82.13,light rain,3.07,172.79,Isles Sunset Lodge
42,Jamestown,US,34.0,light rain,42.1,-79.24,Hampton Inn & Suites Jamestown
43,Dikson,RU,16.72,overcast clouds,73.51,80.55,
44,Mabaruma,GY,74.7,broken clouds,8.2,-59.78,
45,Ushuaia,AR,55.4,scattered clouds,-54.8,-68.3,Albatros Hotel
46,Tire,TR,42.8,clear sky,38.09,27.74,Gülcüoğlu Konakları
48,Santa Isabel Do Rio Negro,BR,71.85,broken clouds,-0.41,-65.02,Hotel GSA
49,San Quintin,MX,66.27,clear sky,30.48,-115.95,Old Mill Hotel
50,New Norfolk,AU,81.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
51,Sangueya,GN,75.24,clear sky,10.7,-14.37,
53,Kruisfontein,ZA,66.0,few clouds,-34.0,24.73,Oyster Bay House Rental
54,Iskateley,RU,32.36,overcast clouds,67.68,53.15,Hostel Agat
55,Dubbo,AU,78.8,scattered clouds,-32.25,148.62,Comfort Inn Blue Lagoon
57,Muroto,JP,66.2,light rain,33.28,134.15,Oota Ryokan
58,Ribeira Grande,PT,62.64,few clouds,38.52,-28.7,Quinta da Meia Eira
59,Codo,BR,75.69,broken clouds,-4.46,-43.89,Hotel Porto do Sol
60,Hithadhoo,MV,80.11,light rain,-0.6,73.08,Scoop Guest House
61,Port Alfred,ZA,66.87,clear sky,-33.59,26.89,The Halyards Hotel
62,Coihaique,CL,51.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
63,Kanniyakumari,IN,84.61,broken clouds,8.08,77.57,Sparsa
64,Codrington,AU,74.68,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
65,Solnechnyy,RU,36.25,broken clouds,50.72,136.63,Hotel complex Pastoral
66,Kaitangata,NZ,53.01,broken clouds,-46.28,169.85,Kaitangata Motor Camp
68,Vila,PT,59.0,light rain,42.03,-8.16,Hotel Castrum Villae
69,San Lorenzo,PY,73.4,clear sky,-25.33,-57.53,Ámbar Hotel
70,Ericeira,PT,64.0,broken clouds,38.96,-9.42,HOTEL PEDRO O PESCADOR
