City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,64.99,65,97,3.96,light rain
1,Wewak,PG,-3.55,143.63,85.23,68,73,6.15,light rain
2,Belmonte,BR,-15.86,-38.88,66.2,93,75,8.05,light rain
3,Mataura,NZ,-46.19,168.86,55.99,68,25,10.0,scattered clouds
4,Tambopata,PE,-12.73,-69.18,69.67,60,32,2.66,scattered clouds
5,Aksu,CN,41.12,80.26,51.85,39,1,1.32,clear sky
6,Victoria,HK,22.29,114.16,84.99,55,86,1.99,overcast clouds
7,Vaini,TO,-21.2,-175.2,78.8,83,40,10.29,smoke
8,Saquarema,BR,-22.92,-42.51,64.74,77,16,10.4,few clouds
9,Kapaa,US,22.08,-159.32,73.99,100,90,9.17,light rain
10,Atuona,PF,-9.8,-139.03,77.67,78,59,15.05,light rain
11,Punta Arenas,CL,-53.15,-70.92,50.0,76,0,8.05,clear sky
12,Bredasdorp,ZA,-34.53,20.04,64.4,82,99,10.29,overcast clouds
13,Sena Madureira,BR,-9.07,-68.66,72.0,78,2,0.83,clear sky
14,Lavrentiya,RU,65.58,-171.0,21.15,89,19,7.94,few clouds
15,Xingyi,CN,24.19,102.82,60.98,90,100,4.12,overcast clouds
16,Saint George,US,37.1,-113.58,62.01,17,1,3.71,clear sky
17,Oeiras Do Para,BR,-2.0,-49.85,76.69,83,46,3.44,scattered clouds
18,Torbay,CA,47.67,-52.73,41.0,74,75,12.75,broken clouds
19,Qaanaaq,GL,77.48,-69.36,3.25,74,0,5.57,clear sky
20,Kodiak,US,57.79,-152.41,28.4,39,90,14.99,overcast clouds
21,Airai,TL,-8.93,125.41,78.93,50,97,3.6,overcast clouds
22,Nishihara,JP,26.18,127.76,82.4,45,40,8.05,scattered clouds
23,Hobart,AU,-42.88,147.33,81.0,49,0,8.05,clear sky
24,Aukra,NO,62.79,6.92,48.2,76,97,6.93,light rain
25,Sisimiut,GL,66.94,-53.67,26.67,88,98,7.94,light snow
26,Abomsa,ET,9.98,39.98,70.52,46,0,4.03,clear sky
27,Hermanus,ZA,-34.42,19.23,66.0,80,97,4.0,overcast clouds
28,East London,ZA,-33.02,27.91,64.4,88,20,11.41,few clouds
29,Verkhnevilyuysk,RU,63.45,120.32,9.36,86,17,8.61,few clouds
30,Hami,CN,42.8,93.45,55.36,34,20,4.56,few clouds
31,Tasiilaq,GL,65.61,-37.64,24.8,58,0,4.7,clear sky
32,Rikitea,PF,-23.12,-134.97,73.92,85,78,24.65,broken clouds
33,Newport,GB,51.59,-3.0,61.0,96,81,5.99,broken clouds
34,Port Elizabeth,ZA,-33.92,25.57,64.4,88,40,9.17,scattered clouds
35,Maceio,BR,-9.67,-35.74,75.2,88,0,5.82,clear sky
36,Bengkulu,ID,-3.8,102.27,85.15,64,100,4.94,overcast clouds
37,Kudahuvadhoo,MV,2.67,72.89,83.05,71,26,8.16,scattered clouds
38,Hilo,US,19.73,-155.09,80.6,69,1,3.36,clear sky
39,Saint Anthony,US,45.02,-93.22,28.99,58,1,3.36,clear sky
40,Krasnoselkup,RU,65.7,82.47,22.33,97,95,15.5,overcast clouds
41,Butaritari,KI,3.07,172.79,82.13,80,40,10.4,light rain
42,Jamestown,US,42.1,-79.24,34.0,97,90,26.4,light rain
43,Dikson,RU,73.51,80.55,16.72,97,92,8.57,overcast clouds
44,Mabaruma,GY,8.2,-59.78,74.7,94,76,0.96,broken clouds
45,Ushuaia,AR,-54.8,-68.3,55.4,58,40,4.7,scattered clouds
46,Tire,TR,38.09,27.74,42.8,75,0,2.24,clear sky
47,Khatanga,RU,71.97,102.5,7.18,93,99,8.1,overcast clouds
48,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,71.85,94,57,2.62,broken clouds
49,San Quintin,MX,30.48,-115.95,66.27,65,0,5.17,clear sky
50,New Norfolk,AU,-42.78,147.06,81.0,26,92,3.24,overcast clouds
51,Sangueya,GN,10.7,-14.37,75.24,91,0,0.83,clear sky
52,Tiksi,RU,71.69,128.87,-5.04,90,8,6.55,clear sky
53,Kruisfontein,ZA,-34.0,24.73,66.0,79,11,1.99,few clouds
54,Iskateley,RU,67.68,53.15,32.36,98,94,9.55,overcast clouds
55,Dubbo,AU,-32.25,148.62,78.8,29,27,9.17,scattered clouds
56,Aykhal,RU,66.0,111.5,10.4,85,0,6.71,clear sky
57,Muroto,JP,33.28,134.15,66.2,93,90,5.82,light rain
58,Ribeira Grande,PT,38.52,-28.7,62.64,70,21,18.32,few clouds
59,Codo,BR,-4.46,-43.89,75.69,84,65,4.0,broken clouds
60,Hithadhoo,MV,-0.6,73.08,80.11,82,100,12.66,light rain
61,Port Alfred,ZA,-33.59,26.89,66.87,76,8,17.0,clear sky
62,Coihaique,CL,-45.58,-72.07,51.8,62,0,3.36,clear sky
63,Kanniyakumari,IN,8.08,77.57,84.61,64,60,6.04,broken clouds
64,Codrington,AU,-38.27,141.97,74.68,69,31,11.54,scattered clouds
65,Solnechnyy,RU,50.72,136.63,36.25,78,57,7.23,broken clouds
66,Kaitangata,NZ,-46.28,169.85,53.01,63,78,10.0,broken clouds
