City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2020-10-29 04:26:28,62.46,-114.35,21.2,85,90,11.41
1,Brae,GB,2020-10-29 04:26:28,60.4,-1.35,50.0,87,88,8.05
2,Jamestown,US,2020-10-29 04:26:28,42.1,-79.24,42.01,100,1,3.36
3,Moose Factory,CA,2020-10-29 04:26:28,51.26,-80.61,24.8,79,90,11.41
4,Punta Arenas,CL,2020-10-29 04:26:29,-53.15,-70.92,46.4,65,40,28.86
5,Yongchang,CN,2020-10-29 04:26:29,30.04,119.73,70.0,61,77,1.99
6,Kodiak,US,2020-10-29 04:23:57,57.79,-152.41,39.2,64,90,6.93
7,Busselton,AU,2020-10-29 04:26:29,-33.65,115.33,79.0,30,0,5.03
8,Isangel,VU,2020-10-29 04:26:30,-19.55,169.27,82.4,61,75,11.41
9,Barrow,US,2020-10-29 04:26:30,71.29,-156.79,21.2,79,90,10.29
10,Gamba,GA,2020-10-29 04:26:30,-2.65,10.0,75.74,91,95,5.35
11,Pombas,CV,2020-10-29 04:26:30,17.15,-25.02,77.0,83,20,25.28
12,Zyryanka,RU,2020-10-29 04:26:31,65.75,150.85,5.9,93,99,1.03
13,Nikolskoye,RU,2020-10-29 04:26:31,59.7,30.79,46.99,93,0,4.47
14,Atuona,PF,2020-10-29 04:26:31,-9.8,-139.03,77.95,72,4,13.98
15,Elverum,NO,2020-10-29 04:26:32,60.88,11.56,43.0,99,44,5.01
16,Khilok,RU,2020-10-29 04:26:32,51.37,110.47,42.51,58,95,1.36
17,Forestville,US,2020-10-29 04:26:32,38.85,-76.88,64.99,93,90,8.05
18,Orissaare,EE,2020-10-29 04:26:32,58.56,23.08,52.0,93,90,10.29
19,Lagunas,PE,2020-10-29 04:26:33,-5.23,-75.68,78.04,83,28,1.88
20,Tual,ID,2020-10-29 04:26:33,-5.67,132.75,82.58,72,97,4.9
21,Pacifica,US,2020-10-29 04:26:33,37.61,-122.49,61.0,41,1,12.75
22,Nome,US,2020-10-29 04:26:33,64.5,-165.41,26.01,79,1,1.16
23,Rikitea,PF,2020-10-29 04:26:34,-23.12,-134.97,74.68,82,92,10.49
24,New Norfolk,AU,2020-10-29 04:26:34,-42.78,147.06,63.0,39,20,11.41
25,Pokhara,NP,2020-10-29 04:22:45,28.23,83.98,75.92,33,0,3.67
26,Qandala,SO,2020-10-29 04:26:34,11.47,49.87,80.24,71,2,2.04
27,Yar-Sale,RU,2020-10-29 04:26:34,66.83,70.83,10.78,93,100,19.77
28,San Andres,CO,2020-10-29 04:26:35,12.58,-81.7,82.4,83,20,9.17
29,Pampas,PE,2020-10-29 04:26:35,-12.4,-74.9,51.75,67,91,0.47
30,Longyearbyen,SJ,2020-10-29 04:26:35,78.22,15.64,24.8,68,75,14.99
31,Takoradi,GH,2020-10-29 04:26:35,4.88,-1.76,76.41,90,27,4.23
32,Kavieng,PG,2020-10-29 04:26:36,-2.57,150.8,84.47,69,38,7.38
33,Usinsk,RU,2020-10-29 04:26:36,65.99,57.53,37.2,99,100,14.54
